typeID,title,type,url,image,skillsID
CSRA3397873,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/gcp-cloud-architect,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~gcp-cloud-architect/XDP~SPECIALIZATION!~gcp-cloud-architect.jpeg,55cb2086-0f46-47c7-92f0-197a77b45bf9
CSRA7984337,Hybrid Cloud Service Mesh with Anthos,course,https://www.coursera.org/learn/hybrid-cloud-service-mesh-anthos,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~hybrid-cloud-service-mesh-anthos/XDP~COURSE!~hybrid-cloud-service-mesh-anthos.jpeg,eece3dbd-1350-4ff5-a9c6-0f75ac95019c
CSRA7927433,Big Data Analytical Platform on Alibaba Cloud,course,https://www.coursera.org/learn/alibabacloudbigdata,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~alibabacloudbigdata/XDP~COURSE!~alibabacloudbigdata.jpeg,3b7a0151-d186-43f5-8577-88d8588f9330
CSRA8879829,Amazon DynamoDB: Building NoSQL Database-Driven Applications,course,https://www.coursera.org/learn/dynamodb-nosql-database-driven-apps,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~dynamodb-nosql-database-driven-apps/XDP~COURSE!~dynamodb-nosql-database-driven-apps.jpeg,75701174-2447-4ade-ad50-957bcd9c4261
CSRA9931996,Cloud Systems Software,course,https://www.coursera.org/learn/cloud-sys-software,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~cloud-sys-software/XDP~COURSE!~cloud-sys-software.jpeg,17a1a029-74ee-44fe-b531-1737bdea8066
CSRA2488745,"Programming Foundations with JavaScript, HTML and CSS",course,https://www.coursera.org/learn/duke-programming-web,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~duke-programming-web/XDP~COURSE!~duke-programming-web.jpeg,740aa796-0438-416e-bbce-de5d3eed2b39
CSRA9636517,Programming for Everybody (Getting Started with Python),course,https://www.coursera.org/learn/python,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~python/XDP~COURSE!~python.jpeg,841c2bbb-aebf-4c44-bec9-c5c1541694c4
CSRA3554351,Meta Back-End Developer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/meta-back-end-developer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~meta-back-end-developer/XDP~SPECIALIZATION!~meta-back-end-developer.jpeg,507c6886-5473-4bce-83b9-d891b24d6505
CSRA4728778,Excel to MySQL: Analytic Techniques for Business Specialization,specializations,https://www.coursera.org/specializations/excel-mysql,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~excel-mysql/XDP~SPECIALIZATION!~excel-mysql.jpeg,f161de17-67bc-4208-9364-7d6a4e65c663
CSRA3252954,Excel Skills for Business: Essentials,course,https://www.coursera.org/learn/excel-essentials,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-essentials/XDP~COURSE!~excel-essentials.jpeg,1da6bdff-ae3a-4f09-8e3d-92b08495c646
CSRA2528441,Share Data Through the Art of Visualization,course,https://www.coursera.org/learn/visualize-data,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~visualize-data/XDP~COURSE!~visualize-data.jpeg,4e394a58-baf5-49c1-b67b-b5dc27f7c7ca
CSRA3646784,What is Corruption: Anti-Corruption and Compliance,course,https://www.coursera.org/learn/what-is-corruption-anti-corruption-compliance,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~what-is-corruption-anti-corruption-compliance/XDP~COURSE!~what-is-corruption-anti-corruption-compliance.jpeg,89263298-0762-462f-88c3-5b5570f5e161
CSRA3921217,Effective Compliance Programs,course,https://www.coursera.org/learn/effective-compliance-programs,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~effective-compliance-programs/XDP~COURSE!~effective-compliance-programs.jpeg,166d7e08-ecb0-47ba-b938-56e330124c95
CSRA5642597,Excel Skills for Business: Intermediate I,course,https://www.coursera.org/learn/excel-intermediate-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-intermediate-1/XDP~COURSE!~excel-intermediate-1.jpeg,273ff720-75b1-4151-b541-ad7f8255dec4
CSRA4526573,Proje Yönetiminin Temelleri,course,https://www.coursera.org/learn/proje-yonetiminin-temelleri,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~proje-yonetiminin-temelleri/XDP~COURSE!~proje-yonetiminin-temelleri.jpeg,ca074f89-77bc-44c0-806a-2ea2d58e9edf
CSRA4263315,Agile Meets Design Thinking,course,https://www.coursera.org/learn/uva-darden-getting-started-agile,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-getting-started-agile/XDP~COURSE!~uva-darden-getting-started-agile.jpeg,bf371d30-2284-4b27-be5c-cabef1574834
CSRA1671948,How to Manage a Remote Team,course,https://www.coursera.org/learn/remote-team-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~remote-team-management/XDP~COURSE!~remote-team-management.jpeg,3eb146da-68aa-4f07-9ea0-590d909c21ed
CSRA7785852,Budgeting and Scheduling Projects,course,https://www.coursera.org/learn/schedule-projects,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~schedule-projects/XDP~COURSE!~schedule-projects.jpeg,377d1202-560c-467b-b263-3bbb637667a4
CSRA4677376,Project Initiation: Starting a Successful Project,course,https://www.coursera.org/learn/project-initiation-google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~project-initiation-google/XDP~COURSE!~project-initiation-google.jpeg,316ef5d3-4832-496a-81d3-4b21fc44fd0a
CSRA8864524,Career Success Specialization,specializations,https://www.coursera.org/specializations/career-success,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~career-success/XDP~SPECIALIZATION!~career-success.jpeg,d77e0e2b-3ebb-4c3b-923d-11179b4f2319
CSRA4387214,Successful Negotiation: Essential Strategies and Skills,course,https://www.coursera.org/learn/negotiation-skills,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~negotiation-skills/XDP~COURSE!~negotiation-skills.jpeg,82a537d1-c283-4955-ae97-da348bea4efa
CSRA1631494,Improve Your English Communication Skills Specialization,specializations,https://www.coursera.org/specializations/improve-english,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~improve-english/XDP~SPECIALIZATION!~improve-english.jpeg,7f485708-c616-4931-abbf-5201dd8c32af
CSRA7217935,English for Career Development,course,https://www.coursera.org/learn/careerdevelopment,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~careerdevelopment/XDP~COURSE!~careerdevelopment.jpeg,5641b2ad-00af-4955-b684-f2d272d08af9
CSRA5919472,Communication Strategies for a Virtual Age,course,https://www.coursera.org/learn/communication-strategies-virtual-age,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~communication-strategies-virtual-age/XDP~COURSE!~communication-strategies-virtual-age.jpeg,ea55066d-e36f-4b66-ba28-f5575adf3d7e
CSRA8762398,Good with Words: Speaking and Presenting Specialization,specializations,https://www.coursera.org/specializations/good-with-words-speaking-and-presenting,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~good-with-words-speaking-and-presenting/XDP~SPECIALIZATION!~good-with-words-speaking-and-presenting.jpeg,e10a7a24-5a35-4543-9456-0824ac85824d
CSRA7859915,User-Experience: Create a Storyboard using Storyboarder,guided project,https://www.coursera.org/projects/user-experience-create-a-storyboard-using-storyboarder,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~user-experience-create-a-storyboard-using-storyboarder/XDP~COURSE!~user-experience-create-a-storyboard-using-storyboarder.jpeg,c731397e-f724-4982-bd3d-5f1cc223ced7
CSRA3975729,How to Visualize Research Data in Tableau,guided project,https://www.coursera.org/projects/how-visualize-research-data-tableau,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~how-visualize-research-data-tableau/XDP~COURSE!~how-visualize-research-data-tableau.jpeg,4d178d10-c308-4057-9232-349c9e403c22
CSRA9836276,Eine Einführung in die Finite Elemente Methode mit SimScale,guided project,https://www.coursera.org/projects/fem-finite-elemente-methode-mit-simscale,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fem-finite-elemente-methode-mit-simscale/XDP~COURSE!~fem-finite-elemente-methode-mit-simscale.jpeg,6bbc97cf-fe77-4463-80ab-6df4914a939a
CSRA9334913,Transferencia tecnológica: De la investigación al mercado.,course,https://www.coursera.org/learn/transferencia-tecnologica-investigacion,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~transferencia-tecnologica-investigacion/XDP~COURSE!~transferencia-tecnologica-investigacion.jpeg,39723e07-04a9-4694-b239-38494ffe7200
CSRA3954721,"Excel/VBA for Creative Problem Solving, Part 1",course,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-vba-for-creative-problem-solving-part-1/XDP~COURSE!~excel-vba-for-creative-problem-solving-part-1.jpeg,a0b868e1-918c-4d57-8692-53af7ce7d04a
CSRA2339844,Experimentation for Improvement,course,https://www.coursera.org/learn/experimentation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~experimentation/XDP~COURSE!~experimentation.jpeg,9b70932d-c964-45a5-9607-bf71756bb379
CSRA2398254,"Excel/VBA for Creative Problem Solving, Part 2",course,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-2,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-vba-for-creative-problem-solving-part-2/XDP~COURSE!~excel-vba-for-creative-problem-solving-part-2.jpeg,64547b72-2d61-427a-99fd-e1a2c137b5b9
CSRA1184995,Being a researcher (in Information Science and Technology),course,https://www.coursera.org/learn/being-researcher,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~being-researcher/XDP~COURSE!~being-researcher.jpeg,214cb2b8-31b9-40c0-972e-d4da477dfaf9
CSRA6631267,"Ethics, Technology and Engineering",course,https://www.coursera.org/learn/ethics-technology-engineering,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ethics-technology-engineering/XDP~COURSE!~ethics-technology-engineering.jpeg,0c0f4d9d-ebf2-457b-9260-c0c244729445
CSRA5939417,"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",course,https://www.coursera.org/learn/computers-waves-simulations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computers-waves-simulations/XDP~COURSE!~computers-waves-simulations.jpeg,31d4fa81-c646-4c5e-8f6c-5ec318eb79ff
CSRA8565497,Simulation and modeling of natural processes,course,https://www.coursera.org/learn/modeling-simulation-natural-processes,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~modeling-simulation-natural-processes/XDP~COURSE!~modeling-simulation-natural-processes.jpeg,166d7e08-ecb0-47ba-b938-56e330124c95
CSRA5875634,Quantitative Methods,course,https://www.coursera.org/learn/quantitative-methods,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~quantitative-methods/XDP~COURSE!~quantitative-methods.jpeg,c6b361a2-f7c7-4c89-bd5b-bb39d08717af
CSRA9736546,Plant Bioinformatic Methods Specialization,specializations,https://www.coursera.org/specializations/plant-bioinformatic-methods,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~plant-bioinformatic-methods/XDP~SPECIALIZATION!~plant-bioinformatic-methods.jpeg,80b56616-5c4f-40dd-be20-50562a562f83
CSRA2975642,Cybersecurity Specialization,specializations,https://www.coursera.org/specializations/cyber-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~cyber-security/XDP~SPECIALIZATION!~cyber-security.jpeg,d77e0e2b-3ebb-4c3b-923d-11179b4f2319
