typeID,title,type,url,image
CSRA7624544,SQL for Data Science,course,https://www.coursera.org/learn/sql-for-data-science,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~sql-for-data-science/XDP~COURSE!~sql-for-data-science.jpeg
CSRA8397967,Understanding Research Methods,course,https://www.coursera.org/learn/research-methods,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~research-methods/XDP~COURSE!~research-methods.jpeg
CSRA1597628,Computational Fluid Mechanics - Airflow Around a Spoiler,guided project,https://www.coursera.org/projects/computational-fluid-mechanics-airflow-around-a-spoiler-uktyf,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~computational-fluid-mechanics-airflow-around-a-spoiler-uktyf/XDP~COURSE!~computational-fluid-mechanics-airflow-around-a-spoiler-uktyf.jpeg
CSRA3558572,Meta Front-End Developer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/meta-front-end-developer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~meta-front-end-developer/XDP~SPECIALIZATION!~meta-front-end-developer.jpeg
CSRA8646883,Excel Basics for Data Analysis,course,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~excel-basics-data-analysis-ibm/XDP~COURSE!~excel-basics-data-analysis-ibm.jpeg
CSRA5436979,Essential Cloud Infrastructure: Core Services dalam bahasa Indonesia,course,https://www.coursera.org/learn/essential-cloud-infrastructure-core-services-id,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~essential-cloud-infrastructure-core-services-id/XDP~COURSE!~essential-cloud-infrastructure-core-services-id.jpeg
CSRA5629898,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,course,https://www.coursera.org/learn/legaltech,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~legaltech/XDP~COURSE!~legaltech.jpeg
CSRA8969127,Google Cloud Fundamentals: Core Infrastructure dalam bahasa Indonesia,course,https://www.coursera.org/learn/gcp-fundamentals-core-infrastructure-id,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~gcp-fundamentals-core-infrastructure-id/XDP~COURSE!~gcp-fundamentals-core-infrastructure-id.jpeg
CSRA5963796,Essential Cloud Infrastructure: Foundation dalam bahasa Indonesia,course,https://www.coursera.org/learn/essential-cloud-infrastructure-foundation-id,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~essential-cloud-infrastructure-foundation-id/XDP~COURSE!~essential-cloud-infrastructure-foundation-id.jpeg
CSRA1776211,Mastering the Software Engineering Interview,course,https://www.coursera.org/learn/cs-tech-interview,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~cs-tech-interview/XDP~COURSE!~cs-tech-interview.jpeg
CSRA6643557,Introduction to Software Product Management,course,https://www.coursera.org/learn/introduction-to-software-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-software-product-management/XDP~COURSE!~introduction-to-software-product-management.jpeg
CSRA7997449,Hypothesis-Driven Development,course,https://www.coursera.org/learn/uva-darden-agile-testing,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-agile-testing/XDP~COURSE!~uva-darden-agile-testing.jpeg
CSRA1354551,Agile Project Management,course,https://www.coursera.org/learn/agile-project-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~agile-project-management/XDP~COURSE!~agile-project-management.jpeg
CSRA6169934,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud/XDP~SPECIALIZATION!~sre-devops-engineer-google-cloud.jpeg
