typeID,name,type,url,image
CSRA6588735,Real-World Product Management Specialization,specializations,https://www.coursera.org/specializations/real-world-product-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~real-world-product-management/XDP~SPECIALIZATION!~real-world-product-management.jpeg
CSRA9985222,User Experience Research and Design Specialization,specializations,https://www.coursera.org/specializations/michiganux,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~michiganux/XDP~SPECIALIZATION!~michiganux.jpeg
CSRA2233577,Client Needs and Software Requirements,course,https://www.coursera.org/learn/client-needs-and-software-requirements,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~client-needs-and-software-requirements/XDP~COURSE!~client-needs-and-software-requirements.jpeg
CSRA1552568,Evaluating User Interfaces,course,https://www.coursera.org/learn/ui-testing,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ui-testing/XDP~COURSE!~ui-testing.jpeg
CSRA1627615,Introduction to UI Design,course,https://www.coursera.org/learn/ui-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ui-design/XDP~COURSE!~ui-design.jpeg
CSRA7842346,Interaction Design Specialization,specializations,https://www.coursera.org/specializations/interaction-design,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~interaction-design/XDP~SPECIALIZATION!~interaction-design.jpeg
CSRA7422584,Networking,-,https://www.coursera.org/browse/information-technology/networking,https://s3.amazonaws.com/coursera/media/Grid_Coursera_Partners_updated.png
CSRA8487394,Fundamentals of Computer Network Security Specialization,specializations,https://www.coursera.org/specializations/computer-network-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~computer-network-security/XDP~SPECIALIZATION!~computer-network-security.jpeg
CSRA1997736,Introduction to Networking and Storage,course,https://www.coursera.org/learn/introduction-to-networking-and-storage,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-networking-and-storage/XDP~COURSE!~introduction-to-networking-and-storage.jpeg
CSRA9598566,Creando una aplicación con Stellar SDK,guided project,https://www.coursera.org/projects/creando-stellar-sdk,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~creando-stellar-sdk/XDP~COURSE!~creando-stellar-sdk.jpeg
CSRA9971546,Crea y vende tus NFT en marketplace,guided project,https://www.coursera.org/projects/crea-nft,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~crea-nft/XDP~COURSE!~crea-nft.jpeg
CSRA6969861,البدء باستخدام برنامج packet tracer,guided project,https://www.coursera.org/projects/albad-biastikhdam-barnamaj-packet-tracer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer.jpeg
CSRA7363784,Diseñando tarjetas de presentación en Adobe Illustrator,guided project,https://www.coursera.org/projects/diseando-tarjetas-de-presentacion-en-adobe-illustrator,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~diseando-tarjetas-de-presentacion-en-adobe-illustrator/XDP~COURSE!~diseando-tarjetas-de-presentacion-en-adobe-illustrator.jpeg
CSRA9551829,Computer Security and Systems Management Specialization,specializations,https://www.coursera.org/specializations/computer-security-systems-management,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~computer-security-systems-management/XDP~SPECIALIZATION!~computer-security-systems-management.jpeg
CSRA9834339,Introduction to Cyber Security Specialization,specializations,https://www.coursera.org/specializations/intro-cyber-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~intro-cyber-security/XDP~SPECIALIZATION!~intro-cyber-security.jpeg
CSRA9671417,(ISC)² Systems Security Certified Practitioner (SSCP),professional certificates,https://www.coursera.org/professional-certificates/sscp-training,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sscp-training/XDP~SPECIALIZATION!~sscp-training.jpeg
